hf_id,hf_navn,helseregion,spesialitet_kode,spesialitet,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2022,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2023,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2024,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17e,Urologi,arsverk,2025,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2015,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2016,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2017,5,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2018,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2019,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2020,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2021,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2022,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2023,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2024,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,17f,Bryst- og endokrinkirurgi,arsverk,2025,8,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2015,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2016,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2017,14,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2018,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2019,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2020,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2021,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2022,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2023,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2024,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,18,Hud og veneriske sykdommer,arsverk,2025,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2015,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2016,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2017,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2018,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2019,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2020,7,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2021,8,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2022,9,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2023,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2024,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,19,Immunologi og transfusjonsmedisin,arsverk,2025,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2015,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2016,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2017,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2018,16,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2019,15,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2020,17,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2021,14,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2022,18,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2023,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2024,9,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20,Indremedisin,arsverk,2025,6,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2015,8,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2016,8,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2017,9,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2018,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2019,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2020,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2021,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2022,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2023,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2024,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20a,Blodsykdommer,arsverk,2025,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2015,10,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2016,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2017,11,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2018,12,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2019,13,arsverk,ssb_14080,ekte
983974724,Helse Bergen HF,H03,20b,Endokrinologi,arsverk,2020,13,arsverk,ssb_14080,ekte
