omrade_id,omrade_navn,omrade_type,tjenesteomrade,aldersgruppe,period,value,unit,source_id,quality
983974910,Nordlandssykehuset HF,hf,SOM,80-89,2015,5179,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,SOM,90+,2015,1259,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,SOM,alle,2015,135984,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,VOP,18-29,2015,21117,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,VOP,30-49,2015,34751,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,VOP,50-66,2015,29816,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,VOP,67-79,2015,15074,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,VOP,80-89,2015,5179,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,VOP,90+,2015,1259,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,VOP,alle,2015,107196,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,BUP,0-17,2015,28788,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,BUP,alle,2015,28788,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,TSB,0-17,2015,28788,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,TSB,18-29,2015,21117,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,TSB,30-49,2015,34751,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,TSB,50-66,2015,29816,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,TSB,67-79,2015,15074,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,TSB,80-89,2015,5179,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,TSB,90+,2015,1259,personer,ssb_13982,ekte
983974910,Nordlandssykehuset HF,hf,TSB,alle,2015,135984,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,SOM,0-17,2015,16489,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,SOM,18-29,2015,11891,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,SOM,30-49,2015,19166,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,SOM,50-66,2015,17664,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,SOM,67-79,2015,9254,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,SOM,80-89,2015,3268,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,SOM,90+,2015,760,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,SOM,alle,2015,78492,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,VOP,18-29,2015,11891,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,VOP,30-49,2015,19166,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,VOP,50-66,2015,17664,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,VOP,67-79,2015,9254,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,VOP,80-89,2015,3268,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,VOP,90+,2015,760,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,VOP,alle,2015,62003,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,BUP,0-17,2015,16489,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,BUP,alle,2015,16489,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,TSB,0-17,2015,16489,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,TSB,18-29,2015,11891,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,TSB,30-49,2015,19166,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,TSB,50-66,2015,17664,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,TSB,67-79,2015,9254,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,TSB,80-89,2015,3268,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,TSB,90+,2015,760,personer,ssb_13982,ekte
983974929,Helgelandssykehuset HF,hf,TSB,alle,2015,78492,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,SOM,0-17,2015,16109,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,SOM,18-29,2015,12621,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,SOM,30-49,2015,20074,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,SOM,50-66,2015,16267,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,SOM,67-79,2015,7618,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,SOM,80-89,2015,2488,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,SOM,90+,2015,428,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,SOM,alle,2015,75605,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,VOP,18-29,2015,12621,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,VOP,30-49,2015,20074,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,VOP,50-66,2015,16267,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,VOP,67-79,2015,7618,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,VOP,80-89,2015,2488,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,VOP,90+,2015,428,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,VOP,alle,2015,59496,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,BUP,0-17,2015,16109,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,BUP,alle,2015,16109,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,TSB,0-17,2015,16109,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,TSB,18-29,2015,12621,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,TSB,30-49,2015,20074,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,TSB,50-66,2015,16267,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,TSB,67-79,2015,7618,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,TSB,80-89,2015,2488,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,TSB,90+,2015,428,personer,ssb_13982,ekte
983974880,Finnmarkssykehuset HF,hf,TSB,alle,2015,75605,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,SOM,0-17,2015,39741,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,SOM,18-29,2015,31934,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,SOM,30-49,2015,50131,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,SOM,50-66,2015,40743,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,SOM,67-79,2015,19917,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,SOM,80-89,2015,6703,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,SOM,90+,2015,1490,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,SOM,alle,2015,190659,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,VOP,18-29,2015,31934,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,VOP,30-49,2015,50131,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,VOP,50-66,2015,40743,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,VOP,67-79,2015,19917,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,VOP,80-89,2015,6703,personer,ssb_13982,ekte
983974899,Universitetssykehuset Nord-Norge HF,hf,VOP,90+,2015,1490,personer,ssb_13982,ekte
