municipality_code,metric,metric_label,period,value,unit,source_id,quality
3428,kpr_l01_l29ogl70_l71ogl82_l99_0_74_antall,Muskel og skjelett (ekskl. brudd og skader) – antall,2021,683,personer,fhi_nokkel_370,ekte
3428,kpr_l01_l29_0_74_rate,Muskel- og skjelettplager – per 1000,2021,265.563978865151,rate,fhi_nokkel_370,ekte
3428,kpr_l01_l29_0_74_antall,Muskel- og skjelettplager – antall,2021,578,personer,fhi_nokkel_370,ekte
3428,kpr_l70_l71ogl82_l99_0_74_rate,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – per 1000,2021,124.511830921204,rate,fhi_nokkel_370,ekte
3428,kpr_l70_l71ogl82_l99_0_74_antall,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – antall,2021,271,personer,fhi_nokkel_370,ekte
3428,kpr_skader_0_74_rate,Skader – per 1000,2021,100.160808637721,rate,fhi_nokkel_370,ekte
3428,kpr_skader_0_74_antall,Skader – antall,2021,218,personer,fhi_nokkel_370,ekte
3428,kpr_k70_k99_0_74_rate,"Hjerte- og karsykdomsdiagnoser, totalt – per 1000",2022,70.7685372999775,rate,fhi_nokkel_370,ekte
3428,kpr_k70_k99_0_74_antall,"Hjerte- og karsykdomsdiagnoser, totalt – antall",2022,157,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p29ogp70_p99_0_74_rate,Psykiske symptomer og lidelser – per 1000,2022,95.1093080910525,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p29ogp70_p99_0_74_antall,Psykiske symptomer og lidelser – antall,2022,211,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p29_0_74_rate,Psykiske symptomer – per 1000,2022,71.6700473292766,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p29_0_74_antall,Psykiske symptomer – antall,2022,159,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p04ogp25ogp28_p29_0_74_rate,"Angst og depresjon, symptomer – per 1000",2022,47.780031552851,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p04ogp25ogp28_p29_0_74_antall,"Angst og depresjon, symptomer – antall",2022,106,personer,fhi_nokkel_370,ekte
3428,kpr_p70_p99_0_74_rate,Psykiske lidelser – per 1000,2022,38.3141762452107,rate,fhi_nokkel_370,ekte
3428,kpr_p70_p99_0_74_antall,Psykiske lidelser – antall,2022,85,personer,fhi_nokkel_370,ekte
3428,kpr_p73ogp76_0_74_rate,Affektive og depressive lidelser – per 1000,2022,17.579445571332,rate,fhi_nokkel_370,ekte
3428,kpr_p73ogp76_0_74_antall,Affektive og depressive lidelser – antall,2022,39,personer,fhi_nokkel_370,ekte
3428,kpr_p74ogp79ogp82_0_74_rate,Angstlidelser – per 1000,2022,9.01510029299076,rate,fhi_nokkel_370,ekte
3428,kpr_p74ogp79ogp82_0_74_antall,Angstlidelser – antall,2022,20,personer,fhi_nokkel_370,ekte
3428,kpr_l01_l29ogl70_l71ogl82_l99_0_74_rate,Muskel og skjelett (ekskl. brudd og skader) – per 1000,2022,299.752084741943,rate,fhi_nokkel_370,ekte
3428,kpr_l01_l29ogl70_l71ogl82_l99_0_74_antall,Muskel og skjelett (ekskl. brudd og skader) – antall,2022,665,personer,fhi_nokkel_370,ekte
3428,kpr_l01_l29_0_74_rate,Muskel- og skjelettplager – per 1000,2022,255.578093306288,rate,fhi_nokkel_370,ekte
