municipality_code,metric,metric_label,period,value,unit,source_id,quality
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2016,18828,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2017,18000,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2018,17726,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2019,17945,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2020,18006,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2021,18223,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2022,18042,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2023,18176,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2024,17861,dogn,ssb_12292,ekte
1832,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2025,17528,dogn,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2015,182,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2016,181,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2017,193,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2018,174,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2019,178,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2020,178,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2021,180,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2022,177,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2023,174,arsverk,ssb_12292,ekte
1832,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2024,184,arsverk,ssb_12292,ekte
