hf_id,hf_navn,helseregion,tjenesteomrade,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2019,569020,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2020,549820,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2021,603707,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2022,616798,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2023,656715,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2024,684922,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,polikliniske_konsultasjoner,2025,696114,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2015,25220,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2016,21515,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2017,22141,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2018,23957,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2019,25768,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2020,23235,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2021,25124,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2022,25331,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2023,25399,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2024,24746,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,dagbehandlinger,2025,32849,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2015,338818,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2016,329525,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2017,343041,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2018,322118,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2019,320574,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2020,315244,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2021,311278,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2022,322419,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2023,329394,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2024,286569,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,sengedogn,2025,304601,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent,2020,73,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent,2021,78,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent,2022,78,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent,2023,74,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent,2024,84,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent,2025,78,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2015,80,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2016,76,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2017,74,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2018,77,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2019,73,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2020,67,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2021,72,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2022,73,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2023,71,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2024,71,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,SOM,beleggsprosent_oecd,2025,69,prosent,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2015,243,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2016,225,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2017,220,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2018,218,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2019,216,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2020,216,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2021,212,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2022,215,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2023,225,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2024,207,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dognplasser,2025,212,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2015,3923,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2016,3866,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2017,3586,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2018,4588,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2019,3771,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2020,3421,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2021,3242,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2022,3317,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2023,3199,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2024,3227,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,utskrivninger,2025,3332,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2015,80182,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2016,74491,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2017,70080,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2018,73309,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2019,72544,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2020,70844,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2021,72486,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2022,73537,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2023,76627,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2024,72635,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,liggedager,2025,73215,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2015,98986,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2016,93070,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2017,95346,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2018,100777,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2019,107778,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2020,105001,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2021,112507,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2022,113963,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2023,114885,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2024,118563,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,polikliniske_konsultasjoner,2025,115260,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2015,3357,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2016,3473,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2017,3796,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2018,2916,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2019,2402,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2020,2524,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2021,1959,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2022,2183,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2023,2318,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2024,1813,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,dagbehandlinger,2025,1825,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2015,85249,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2016,79007,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2017,73183,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,VOP,sengedogn,2018,79570,dogn,ssb_13942,ekte
