municipality_code,aldersgruppe,period,value,unit,source_id,quality
1122,90+,2015,50,personer,ssb_07459,ekte
1122,alle,2015,11600,personer,ssb_07459,ekte
1124,0-17,2015,6514,personer,ssb_07459,ekte
1124,18-29,2015,4424,personer,ssb_07459,ekte
1124,30-49,2015,7532,personer,ssb_07459,ekte
1124,50-66,2015,4672,personer,ssb_07459,ekte
1124,67-79,2015,1866,personer,ssb_07459,ekte
1124,80-89,2015,583,personer,ssb_07459,ekte
1124,90+,2015,117,personer,ssb_07459,ekte
1124,alle,2015,25708,personer,ssb_07459,ekte
1127,0-17,2015,2691,personer,ssb_07459,ekte
1127,18-29,2015,1725,personer,ssb_07459,ekte
1127,30-49,2015,2975,personer,ssb_07459,ekte
1127,50-66,2015,1986,personer,ssb_07459,ekte
1127,67-79,2015,892,personer,ssb_07459,ekte
1127,80-89,2015,242,personer,ssb_07459,ekte
1127,90+,2015,45,personer,ssb_07459,ekte
1127,alle,2015,10556,personer,ssb_07459,ekte
1130,0-17,2015,3235,personer,ssb_07459,ekte
1130,18-29,2015,2037,personer,ssb_07459,ekte
1130,30-49,2015,3298,personer,ssb_07459,ekte
1130,50-66,2015,2270,personer,ssb_07459,ekte
1130,67-79,2015,1092,personer,ssb_07459,ekte
1130,80-89,2015,373,personer,ssb_07459,ekte
1130,90+,2015,90,personer,ssb_07459,ekte
1130,alle,2015,12395,personer,ssb_07459,ekte
1133,0-17,2015,716,personer,ssb_07459,ekte
1133,18-29,2015,346,personer,ssb_07459,ekte
1133,30-49,2015,692,personer,ssb_07459,ekte
1133,50-66,2015,603,personer,ssb_07459,ekte
1133,67-79,2015,302,personer,ssb_07459,ekte
1133,80-89,2015,102,personer,ssb_07459,ekte
1133,90+,2015,24,personer,ssb_07459,ekte
1133,alle,2015,2785,personer,ssb_07459,ekte
1134,0-17,2015,923,personer,ssb_07459,ekte
1134,18-29,2015,525,personer,ssb_07459,ekte
1134,30-49,2015,942,personer,ssb_07459,ekte
1134,50-66,2015,862,personer,ssb_07459,ekte
1134,67-79,2015,416,personer,ssb_07459,ekte
1134,80-89,2015,173,personer,ssb_07459,ekte
1134,90+,2015,51,personer,ssb_07459,ekte
1134,alle,2015,3892,personer,ssb_07459,ekte
1135,0-17,2015,996,personer,ssb_07459,ekte
1135,18-29,2015,701,personer,ssb_07459,ekte
1135,30-49,2015,1142,personer,ssb_07459,ekte
1135,50-66,2015,1051,personer,ssb_07459,ekte
1135,67-79,2015,524,personer,ssb_07459,ekte
1135,80-89,2015,294,personer,ssb_07459,ekte
1135,90+,2015,48,personer,ssb_07459,ekte
1135,alle,2015,4756,personer,ssb_07459,ekte
1144,0-17,2015,121,personer,ssb_07459,ekte
1144,18-29,2015,71,personer,ssb_07459,ekte
1144,30-49,2015,133,personer,ssb_07459,ekte
1144,50-66,2015,105,personer,ssb_07459,ekte
1144,67-79,2015,74,personer,ssb_07459,ekte
1144,80-89,2015,26,personer,ssb_07459,ekte
1144,90+,2015,4,personer,ssb_07459,ekte
1144,alle,2015,534,personer,ssb_07459,ekte
1145,0-17,2015,204,personer,ssb_07459,ekte
