region_id,region_navn,region_type,tjenesteomrade,aldersgruppe,diagnose_kode,diagnose_navn,metric,period,value,unit,source_id,quality
0,Hele landet,land,SOM,0-17,_T,I alt,pasienter,2015,385620,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,_T,I alt,pasienter_dogn,2015,81270,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,_T,I alt,dognopphold,2015,104004,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,_T,I alt,oppholdsdogn,2015,341088,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,pasienter,2015,11241,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,pasienter_dogn,2015,2973,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,dognopphold,2015,3174,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,oppholdsdogn,2015,7992,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,II,(C00-D48) Svulster,pasienter,2015,8238,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,II,(C00-D48) Svulster,pasienter_dogn,2015,735,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,II,(C00-D48) Svulster,dognopphold,2015,2868,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,II,(C00-D48) Svulster,oppholdsdogn,2015,12978,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,III,(D50-D89) Sykdommer i blod og bloddannende organer og visse tilstander som angår immunsystemet,pasienter,2015,2043,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,III,(D50-D89) Sykdommer i blod og bloddannende organer og visse tilstander som angår immunsystemet,pasienter_dogn,2015,465,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,III,(D50-D89) Sykdommer i blod og bloddannende organer og visse tilstander som angår immunsystemet,dognopphold,2015,750,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,III,(D50-D89) Sykdommer i blod og bloddannende organer og visse tilstander som angår immunsystemet,oppholdsdogn,2015,2118,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,IV,"(E00-E90) Endokrine sykdommer, ernæringssykdommer og metabolske forstyrrelser",pasienter,2015,12693,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,IV,"(E00-E90) Endokrine sykdommer, ernæringssykdommer og metabolske forstyrrelser",pasienter_dogn,2015,2106,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,IV,"(E00-E90) Endokrine sykdommer, ernæringssykdommer og metabolske forstyrrelser",dognopphold,2015,2664,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,IV,"(E00-E90) Endokrine sykdommer, ernæringssykdommer og metabolske forstyrrelser",oppholdsdogn,2015,10068,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,V,(F00-F99) Psykiske lidelser og atferdsforstyrrelser,pasienter,2015,10026,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,V,(F00-F99) Psykiske lidelser og atferdsforstyrrelser,pasienter_dogn,2015,846,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,V,(F00-F99) Psykiske lidelser og atferdsforstyrrelser,dognopphold,2015,966,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,V,(F00-F99) Psykiske lidelser og atferdsforstyrrelser,oppholdsdogn,2015,3762,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,IX,(I00-I99) Sykdommer i sirkulasjonssystemet,pasienter,2015,3225,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,IX,(I00-I99) Sykdommer i sirkulasjonssystemet,pasienter_dogn,2015,651,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,IX,(I00-I99) Sykdommer i sirkulasjonssystemet,dognopphold,2015,840,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,IX,(I00-I99) Sykdommer i sirkulasjonssystemet,oppholdsdogn,2015,3450,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VI,(G00-G99) Sykdommer i nervesystemet,pasienter,2015,13728,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VI,(G00-G99) Sykdommer i nervesystemet,pasienter_dogn,2015,3363,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VI,(G00-G99) Sykdommer i nervesystemet,dognopphold,2015,5184,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VI,(G00-G99) Sykdommer i nervesystemet,oppholdsdogn,2015,18612,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VII,(H00-H59) Sykdommer i øyet og øyets omgivelser,pasienter,2015,50625,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VII,(H00-H59) Sykdommer i øyet og øyets omgivelser,pasienter_dogn,2015,450,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VII,(H00-H59) Sykdommer i øyet og øyets omgivelser,dognopphold,2015,504,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VII,(H00-H59) Sykdommer i øyet og øyets omgivelser,oppholdsdogn,2015,1236,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VIII,(H60-H95) Sykdommer i øre og ørebensknute (processus mastoideus),pasienter,2015,34338,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VIII,(H60-H95) Sykdommer i øre og ørebensknute (processus mastoideus),pasienter_dogn,2015,813,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VIII,(H60-H95) Sykdommer i øre og ørebensknute (processus mastoideus),dognopphold,2015,870,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,VIII,(H60-H95) Sykdommer i øre og ørebensknute (processus mastoideus),oppholdsdogn,2015,1428,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,X,(J00-J99) Sykdommer i åndedrettssystemet,pasienter,2015,57168,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,X,(J00-J99) Sykdommer i åndedrettssystemet,pasienter_dogn,2015,9180,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,X,(J00-J99) Sykdommer i åndedrettssystemet,dognopphold,2015,10800,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,X,(J00-J99) Sykdommer i åndedrettssystemet,oppholdsdogn,2015,27426,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XI,(K00-K93) Sykdommer i fordøyelsessystemet,pasienter,2015,24270,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XI,(K00-K93) Sykdommer i fordøyelsessystemet,pasienter_dogn,2015,4200,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XI,(K00-K93) Sykdommer i fordøyelsessystemet,dognopphold,2015,4950,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XI,(K00-K93) Sykdommer i fordøyelsessystemet,oppholdsdogn,2015,11922,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XII,(L00-L99) Sykdommer i hud og underhud,pasienter,2015,25290,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XII,(L00-L99) Sykdommer i hud og underhud,pasienter_dogn,2015,1020,personer,ssb_14824,ekte
